Line_Item_Id,Transaction_Id,Date,Customer_Id,Loyalty_Member,Product_Id,Product_Name,Category,Brand,Unit_Price,Quantity,Line_Total,Discount_Applied,Net_Amount,Payment_Method,Cashier_Id
LI000024,TXN10005,2025-12-01,C0117,FALSE,P019,Tea Powder 250g,Beverages,Red Label,115,2,230,0,230,UPI,EMP02
LI000025,TXN10005,2025-12-01,C0117,FALSE,P010,Full Cream Milk 500ml,Dairy,Aavin,32,2,64,0,64,UPI,EMP02
LI000026,TXN10005,2025-12-01,C0117,FALSE,P023,Murukku 200g,Snacks,Haldirams,45,2,90,0,90,Cash,EMP04
LI000027,TXN10006,01-12-2025,C0078,TRUE,P035,Dish Wash Bar 200g,Household,Vim,32,2,64,0,64,Cash,EMP02
LI000028,TXN10006,01-12-2025,C0078,TRUE,P017,Coriander Powder 100g,Spices,Local,28,2,56,0,56,Cash,EMP03
LI000029,TXN10006,01-12-2025,C0078,TRUE,P033,Toothpaste 150g,Personal Care,Colgate,72,4,288,0,288,Cash,EMP02
LI000030,TXN10006,01-12-2025,C0078,TRUE,P029,Potato 1kg,Vegetables,Fresh,28,1,28,0,28,Cash,EMP02
LI000031,TXN10006,01-12-2025,C0078,TRUE,P034,Detergent Powder 1kg,Household,Surf Excel,145,1,145,0,145,Cash,EMP04
LI000032,TXN10006,01-12-2025,C0078,TRUE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,2,356,0,356,Cash,EMP03
LI000033,TXN10006,01-12-2025,C0078,TRUE,P007,Coconut Oil 500ml,Oils & Fats,KLF Nirmal,168,3,504,0,504,Cash,EMP01
LI000034,TXN10006,01-12-2025,C0078,TRUE,P018,Garam Masala 50g,Spices,Everest,42,2,84,0,84,Card,EMP01
LI000035,TXN10007,01-12-2025,C0029,TRUE,P018,Garam Masala 50g,Spices,Everest,42,1,42,0,42,UPI,EMP02
LI000036,TXN10007,01-12-2025,C0029,TRUE,P024,Biscuits Marie 200g,Snacks,Britannia,32,3,96,0,96,UPI,EMP01
LI000037,TXN10007,01-12-2025,C0029,TRUE,P026,Namkeen Mix 250g,Snacks,Bikano,48,1,48,0,48,Cash,EMP04
LI000038,TXN10007,01-12-2025,C0029,TRUE,P029,Potato 1kg,Vegetables,Fresh,32,2,64,0,64,UPI,EMP01
LI000039,TXN10007,01-12-2025,C0029,TRUE,P004,Urad Dal 500g,Staples,Local,72,3,216,10.8,205.2,Cash,EMP03
LI000040,TXN10008,01-12-2025,C0053,TRUE,P033,Toothpaste 150g,Personal Care,Colgate,72,2,144,7.2,136.8,UPI,EMP01
LI000041,TXN10008,01-12-2025,C0053,TRUE,P002,Toor Dal 1kg,Staples,24 Mantra,145,1,145,7.25,137.75,UPI,EMP04
LI000042,TXN10008,01-12-2025,C0053,TRUE,P004,Urad Dal 500g,Staples,Local,72,1,72,3.6,68.4,Card,EMP01
LI000043,TXN10008,01-12-2025,C0053,TRUE,P017,Coriander Powder 100g,Spices,Local,28,1,28,0,28,Cash,EMP01
LI000044,TXN10008,01-12-2025,C0053,TRUE,P009,Pure Ghee 200ml,Oils & Fats,Aavin,210,1,210,0,210,Cash,EMP01
LI000045,TXN10009,2025-12-01,C0056,FALSE,P019,Tea Powder 250g,Beverages,Red Label,115,1,115,0,115,UPI,EMP04
LI000046,TXN10009,2025-12-01,C0056,FALSE,P020,Coffee Powder 200g,Beverages,Bru,128,1,128,0,128,Card,EMP02
LI000047,TXN10009,2025-12-01,C0056,FALSE,P026,Namkeen Mix 250g,Snacks,Bikano,48,2,96,0,96,Card,EMP02
LI000048,TXN10009,2025-12-01,C0056,FALSE,P017,Coriander Powder 100g,Spices,Local,28,1,28,0,28,UPI,EMP04
LI000049,TXN10010,01-12-2025,C0080,TRUE,P026,Namkeen Mix 250g,Snacks,Bikano,48,1,48,2.4,45.6,Cash,EMP04
LI000050,TXN10010,01-12-2025,C0080,TRUE,P034,Detergent Powder 1kg,Household,Surf Excel,145,1,145,7.25,137.75,Cash,EMP01
LI000051,TXN10010,01-12-2025,C0080,TRUE,P011,Curd 400g,Dairy,Aavin,35,2,70,0,70,UPI,EMP02
LI000052,TXN10010,01-12-2025,C0080,TRUE,P017,Coriander Powder 100g,Spices,Local,28,5,140,7,133,Card,EMP02
LI000053,TXN10011,01-12-2025,C0008,TRUE,P016,Red Chilli Powder 200g,Spices,Aachi,55,1,55,2.75,52.25,UPI,EMP04
LI000054,TXN10011,01-12-2025,C0008,TRUE,P024,Biscuits Marie 200g,Snacks,Britannia,32,2,64,0,64,UPI,EMP01
LI000055,TXN10011,01-12-2025,C0008,TRUE,P005,Chana Dal 1kg,Staples,Local,98,1,98,0,98,Cash,EMP04
LI000056,TXN10011,01-12-2025,C0008,TRUE,P001,Ponni Boiled Rice 5kg,Staples,Aachi,285,2,570,28.5,541.5,UPI,EMP04
LI000057,TXN10011,01-12-2025,C0008,TRUE,P006,Sunflower Oil 1L,Oils & Fats,Fortune,135,5,675,0,675,UPI,EMP03
LI000058,TXN10012,2025-12-01,C0060,FALSE,P009,Pure Ghee 200ml,Oils & Fats,Aavin,210,1,210,0,210,UPI,EMP03
LI000059,TXN10012,2025-12-01,C0060,FALSE,P022,Soft Drink 2L,Beverages,Pepsi,95,1,95,0,95,UPI,EMP01
LI000060,TXN10012,2025-12-01,C0060,FALSE,P006,Sunflower Oil 1L,Oils & Fats,Fortune,135,2,270,0,270,Cash,EMP02
LI000061,TXN10012,2025-12-01,C0060,FALSE,P002,Toor Dal 1kg,Staples,24 Mantra,145,3,435,0,435,UPI,EMP04
LI000062,TXN10012,2025-12-01,C0060,FALSE,P018,Garam Masala 50g,Spices,Everest,42,2,84,0,84,Cash,EMP01
LI000063,TXN10012,2025-12-01,C0060,FALSE,P003,Atta Wheat Flour 5kg,Staples,Aashirvaad,235,1,235,0,235,Card,EMP01
LI000064,TXN10012,2025-12-01,C0060,FALSE,P020,Coffee Powder 200g,Beverages,Bru,128,4,512,0,512,UPI,EMP04
LI000065,TXN10013,01-12-2025,C0064,TRUE,P030,Banana 1 dozen,Fruits,Fresh,60,2,120,0,120,Cash,EMP04
LI000066,TXN10013,01-12-2025,C0064,TRUE,P019,Tea Powder 250g,Beverages,Red Label,115,5,575,0,575,Card,EMP01
LI000067,TXN10013,01-12-2025,C0064,TRUE,P032,Shampoo 200ml,Personal Care,Clinic Plus,95,2,190,0,190,Cash,EMP04
LI000068,TXN10014,2025-12-01,C0025,FALSE,P019,Tea Powder 250g,Beverages,Red Label,115,1,115,0,115,UPI,EMP01
LI000069,TXN10014,2025-12-01,C0025,FALSE,P030,Banana 1 dozen,Fruits,Fresh,56,1,56,0,56,Cash,EMP03
LI000070,TXN10014,2025-12-01,C0025,FALSE,P016,Red Chilli Powder 200g,Spices,Aachi,55,2,110,0,110,Cash,EMP04
LI000071,TXN10014,2025-12-01,C0025,FALSE,P011,Curd 400g,Dairy,Aavin,35,2,70,0,70,Card,EMP02
LI000072,TXN10015,2025-12-01,C0102,FALSE,P003,Atta Wheat Flour 5kg,Staples,Aashirvaad,235,1,235,0,235,UPI,EMP04
LI000073,TXN10015,2025-12-01,C0102,FALSE,P007,Coconut Oil 500ml,Oils & Fats,KLF Nirmal,168,1,168,0,168,Cash,EMP02
LI000074,TXN10015,2025-12-01,C0102,FALSE,P022,Soft Drink 2L,Beverages,Pepsi,95,1,95,0,95,UPI,EMP04
LI000075,TXN10015,2025-12-01,C0102,FALSE,P034,Detergent Powder 1kg,Household,Surf Excel,145,2,290,0,290,Cash,EMP01
LI000076,TXN10016,2025-12-01,C0013,FALSE,P024,Biscuits Marie 200g,Snacks,Britannia,32,2,64,0,64,Card,EMP02
LI000077,TXN10016,2025-12-01,C0013,FALSE,P022,Soft Drink 2L,Beverages,Pepsi,95,1,95,0,95,UPI,EMP04
LI000078,TXN10016,2025-12-01,C0013,FALSE,P033,Toothpaste 150g,Personal Care,Colgate,72,1,72,0,72,UPI,EMP03
LI000079,TXN10016,2025-12-01,C0013,FALSE,P034,Detergent Powder 1kg,Household,Surf Excel,145,1,145,0,145,Cash,EMP02
LI000080,TXN10016,2025-12-01,C0013,FALSE,P030,Banana 1 dozen,Fruits,Fresh,65,3,195,0,195,UPI,EMP02
LI000081,TXN10016,2025-12-01,C0013,FALSE,P027,Tomato 1kg,Vegetables,Fresh,35,1,35,0,35,Card,EMP03
LI000082,TXN10017,01-12-2025,C0073,TRUE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,3,534,26.7,507.3,Cash,EMP04
LI000083,TXN10017,01-12-2025,C0073,TRUE,P005,Chana Dal 1kg,Staples,Local,98,2,196,9.8,186.2,Cash,EMP02
LI000084,TXN10017,01-12-2025,C0073,TRUE,P030,Banana 1 dozen,Fruits,Fresh,62,1,62,0,62,UPI,EMP04
LI000085,TXN10017,01-12-2025,C0073,TRUE,P010,Full Cream Milk 500ml,Dairy,Aavin,32,1,32,0,32,Card,EMP02
LI000086,TXN10017,01-12-2025,C0073,TRUE,P006,Sunflower Oil 1L,Oils & Fats,Fortune,135,1,135,0,135,UPI,EMP02
LI000087,TXN10017,01-12-2025,C0073,TRUE,P027,Tomato 1kg,Vegetables,Fresh,35,1,35,0,35,UPI,EMP03
LI000088,TXN10018,01-12-2025,C0050,TRUE,P022,Soft Drink 2L,Beverages,Pepsi,95,1,95,0,95,UPI,EMP02
LI000089,TXN10018,01-12-2025,C0050,TRUE,P017,Coriander Powder 100g,Spices,Local,28,3,84,0,84,Cash,EMP02
LI000090,TXN10019,01-12-2025,C0053,TRUE,P009,Pure Ghee 200ml,Oils & Fats,Aavin,210,2,420,0,420,UPI,EMP01
LI000091,TXN10019,01-12-2025,C0053,TRUE,P024,Biscuits Marie 200g,Snacks,Britannia,32,1,32,1.6,30.4,Cash,EMP03
LI000092,TXN10019,01-12-2025,C0053,TRUE,P012,Paneer 200g,Dairy,Heritage,75,1,75,0,75,UPI,EMP01
LI000093,TXN10019,01-12-2025,C0053,TRUE,P021,Horlicks 200g,Beverages,GSK,162,2,324,0,324,Cash,EMP01
LI000094,TXN10019,01-12-2025,C0053,TRUE,P035,Dish Wash Bar 200g,Household,Vim,32,1,32,0,32,Card,EMP02
LI000095,TXN10019,01-12-2025,C0053,TRUE,P016,Red Chilli Powder 200g,Spices,Aachi,55,1,55,0,55,Card,EMP04
LI000096,TXN10019,01-12-2025,C0053,TRUE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,2,356,0,356,Cash,EMP04
LI000097,TXN10019,01-12-2025,C0053,TRUE,P013,Butter 100g,Dairy,Amul,58,1,58,2.9,55.1,UPI,EMP03
LI000098,TXN10020,2025-12-01,C0024,FALSE,P017,Coriander Powder 100g,Spices,Local,28,1,28,0,28,Cash,EMP02
LI000099,TXN10020,2025-12-01,C0024,FALSE,P011,Curd 400g,Dairy,Aavin,35,2,70,0,70,Cash,EMP03
LI000100,TXN10020,2025-12-01,C0024,FALSE,P024,Biscuits Marie 200g,Snacks,Britannia,32,1,32,0,32,Cash,EMP01
LI000101,TXN10020,2025-12-01,C0024,FALSE,P018,Garam Masala 50g,Spices,Everest,42,1,42,0,42,UPI,EMP04
LI000102,TXN10021,01-12-2025,C0008,TRUE,P011,Curd 400g,Dairy,Aavin,35,3,105,0,105,Cash,EMP03
LI000103,TXN10022,2025-12-01,C0025,FALSE,P005,Chana Dal 1kg,Staples,Local,98,3,294,0,294,Cash,EMP01
LI000104,TXN10022,2025-12-01,C0025,FALSE,P001,Ponni Boiled Rice 5kg,Staples,Aachi,285,4,1140,0,1140,UPI,EMP02
LI000105,TXN10022,2025-12-01,C0025,FALSE,P030,Banana 1 dozen,Fruits,Fresh,54,1,54,0,54,Cash,EMP02
LI000106,TXN10023,01-12-2025,C0045,TRUE,P001,Ponni Boiled Rice 5kg,Staples,Aachi,285,2,570,28.5,541.5,Card,EMP03
LI000107,TXN10023,01-12-2025,C0045,TRUE,P030,Banana 1 dozen,Fruits,Fresh,65,1,65,0,65,UPI,EMP02
LI000108,TXN10023,01-12-2025,C0045,TRUE,P023,Murukku 200g,Snacks,Haldirams,45,1,45,0,45,Cash,EMP03
LI000109,TXN10023,01-12-2025,C0045,TRUE,P007,Coconut Oil 500ml,Oils & Fats,KLF Nirmal,168,1,168,8.4,159.6,UPI,EMP03
LI000110,TXN10023,01-12-2025,C0045,TRUE,P013,Butter 100g,Dairy,Amul,58,2,116,0,116,UPI,EMP03
LI000111,TXN10024,2025-12-01,C0058,FALSE,P017,Coriander Powder 100g,Spices,Local,28,3,84,0,84,Cash,EMP01
LI000112,TXN10024,2025-12-01,C0058,FALSE,P035,Dish Wash Bar 200g,Household,Vim,32,1,32,0,32,Cash,EMP02
LI000113,TXN10024,2025-12-01,C0058,FALSE,P010,Full Cream Milk 500ml,Dairy,Aavin,32,1,32,0,32,UPI,EMP04
LI000114,TXN10024,2025-12-01,C0058,FALSE,P034,Detergent Powder 1kg,Household,Surf Excel,145,3,435,0,435,Cash,EMP01
LI000115,TXN10024,2025-12-01,C0058,FALSE,P025,Potato Chips 90g,Snacks,Lays,20,2,40,0,40,Cash,EMP02
LI000116,TXN10025,01-12-2025,C0061,TRUE,P012,Paneer 200g,Dairy,Heritage,75,4,300,15,285,UPI,EMP01
LI000117,TXN10025,01-12-2025,C0061,TRUE,P002,Toor Dal 1kg,Staples,24 Mantra,145,1,145,0,145,Cash,EMP01
LI000118,TXN10025,01-12-2025,C0061,TRUE,P034,Detergent Powder 1kg,Household,Surf Excel,145,1,145,7.25,137.75,UPI,EMP04
LI000119,TXN10025,01-12-2025,C0061,TRUE,P030,Banana 1 dozen,Fruits,Fresh,62,4,248,0,248,UPI,EMP02
LI000120,TXN10026,01-12-2025,C0040,TRUE,P015,Turmeric Powder 100g,Spices,Aachi,38,1,38,1.9,36.1,Cash,EMP03
LI000121,TXN10027,01-12-2025,C0085,TRUE,P013,Butter 100g,Dairy,Amul,58,2,116,0,116,Cash,EMP04
LI000122,TXN10027,01-12-2025,C0085,TRUE,P016,Red Chilli Powder 200g,Spices,Aachi,55,1,55,0,55,Cash,EMP02
LI000123,TXN10027,01-12-2025,C0085,TRUE,P011,Curd 400g,Dairy,Aavin,35,1,35,0,35,UPI,EMP02
LI000124,TXN10028,01-12-2025,C0023,TRUE,P020,Coffee Powder 200g,Beverages,Bru,128,3,384,19.2,364.8,Cash,EMP02
LI000125,TXN10028,01-12-2025,C0023,TRUE,P017,Coriander Powder 100g,Spices,Local,28,1,28,1.4,26.6,Cash,EMP02
LI000126,TXN10028,01-12-2025,C0023,TRUE,P005,Chana Dal 1kg,Staples,Local,98,1,98,4.9,93.1,Cash,EMP03
LI000127,TXN10028,01-12-2025,C0023,TRUE,P024,Biscuits Marie 200g,Snacks,Britannia,32,1,32,1.6,30.4,UPI,EMP02
LI000128,TXN10028,01-12-2025,C0023,TRUE,P001,Ponni Boiled Rice 5kg,Staples,Aachi,285,3,855,0,855,Cash,EMP01
LI000129,TXN10029,2025-12-01,C0018,FALSE,P007,Coconut Oil 500ml,Oils & Fats,KLF Nirmal,168,2,336,0,336,UPI,EMP02
LI000130,TXN10029,2025-12-01,C0018,FALSE,P019,Tea Powder 250g,Beverages,Red Label,115,1,115,0,115,Cash,EMP02
LI000131,TXN10029,2025-12-01,C0018,FALSE,P024,Biscuits Marie 200g,Snacks,Britannia,32,1,32,0,32,UPI,EMP01
LI000132,TXN10029,2025-12-01,C0018,FALSE,P009,Pure Ghee 200ml,Oils & Fats,Aavin,210,5,1050,0,1050,UPI,EMP03
LI000133,TXN10030,2025-12-01,C0041,FALSE,P022,Soft Drink 2L,Beverages,Pepsi,95,2,190,0,190,Cash,EMP01
LI000134,TXN10031,01-12-2025,C0010,TRUE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,1,178,0,178,UPI,EMP04
LI000135,TXN10031,01-12-2025,C0010,TRUE,P019,Tea Powder 250g,Beverages,Red Label,115,1,115,0,115,UPI,EMP04
LI000136,TXN10031,01-12-2025,C0010,TRUE,P022,Soft Drink 2L,Beverages,Pepsi,95,1,95,0,95,UPI,EMP02
LI000137,TXN10032,01-12-2025,C0045,TRUE,P023,Murukku 200g,Snacks,Haldirams,45,3,135,6.75,128.25,UPI,EMP01
LI000138,TXN10032,01-12-2025,C0045,TRUE,P019,Tea Powder 250g,Beverages,Red Label,115,1,115,5.75,109.25,Cash,EMP01
LI000139,TXN10032,01-12-2025,C0045,TRUE,P002,Toor Dal 1kg,Staples,24 Mantra,145,1,145,0,145,UPI,EMP03
LI000140,TXN10032,01-12-2025,C0045,TRUE,P003,Atta Wheat Flour 5kg,Staples,Aashirvaad,235,2,470,23.5,446.5,UPI,EMP04
LI000141,TXN10032,01-12-2025,C0045,TRUE,P031,Soap Bar 100g,Personal Care,Lifebuoy,38,4,152,0,152,Card,EMP03
LI000142,TXN10032,01-12-2025,C0045,TRUE,P029,Potato 1kg,Vegetables,Fresh,34,2,68,3.4,64.6,Cash,EMP01
LI000143,TXN10032,01-12-2025,C0045,TRUE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,2,356,17.8,338.2,Cash,EMP03
LI000144,TXN10032,01-12-2025,C0045,TRUE,P006,Sunflower Oil 1L,Oils & Fats,Fortune,135,4,540,0,540,UPI,EMP03
LI000145,TXN10032,01-12-2025,C0045,TRUE,P010,Full Cream Milk 500ml,Dairy,Aavin,32,2,64,0,64,Cash,EMP04
LI000146,TXN10032,01-12-2025,C0045,TRUE,P021,Horlicks 200g,Beverages,GSK,162,3,486,0,486,Card,EMP02
LI000147,TXN10033,01-12-2025,C0044,TRUE,P027,Tomato 1kg,Vegetables,Fresh,41,1,41,2.05,38.95,Card,EMP03
LI000148,TXN10033,01-12-2025,C0044,TRUE,P034,Detergent Powder 1kg,Household,Surf Excel,145,2,290,0,290,UPI,EMP03
LI000149,TXN10033,01-12-2025,C0044,TRUE,P017,Coriander Powder 100g,Spices,Local,28,1,28,0,28,UPI,EMP03
LI000150,TXN10033,01-12-2025,C0044,TRUE,P013,Butter 100g,Dairy,Amul,58,1,58,0,58,Cash,EMP03
LI000151,TXN10033,01-12-2025,C0044,TRUE,P021,Horlicks 200g,Beverages,GSK,162,4,648,32.4,615.6,Cash,EMP01
LI000152,TXN10033,01-12-2025,C0044,TRUE,P003,Atta Wheat Flour 5kg,Staples,Aashirvaad,235,2,470,0,470,Cash,EMP04
LI000153,TXN10033,01-12-2025,C0044,TRUE,P026,Namkeen Mix 250g,Snacks,Bikano,48,3,144,7.2,136.8,Cash,EMP01
LI000154,TXN10033,01-12-2025,C0044,TRUE,P011,Curd 400g,Dairy,Aavin,35,1,35,0,35,UPI,EMP02
LI000155,TXN10033,01-12-2025,C0044,TRUE,P002,Toor Dal 1kg,Staples,24 Mantra,145,2,290,0,290,Cash,EMP01
LI000156,TXN10033,01-12-2025,C0044,TRUE,P020,Coffee Powder 200g,Beverages,Bru,128,1,128,0,128,Cash,EMP02
LI000157,TXN10033,01-12-2025,C0044,TRUE,P012,Paneer 200g,Dairy,Heritage,75,1,75,0,75,UPI,EMP03
LI000158,TXN10033,01-12-2025,C0044,TRUE,P033,Toothpaste 150g,Personal Care,Colgate,72,1,72,0,72,Cash,EMP04
LI000159,TXN10034,01-12-2025,C0048,TRUE,P033,Toothpaste 150g,Personal Care,Colgate,72,2,144,0,144,Cash,EMP01
LI000160,TXN10034,01-12-2025,C0048,TRUE,P016,Red Chilli Powder 200g,Spices,Aachi,55,1,55,0,55,Card,EMP04
LI000161,TXN10034,01-12-2025,C0048,TRUE,P032,Shampoo 200ml,Personal Care,Clinic Plus,95,4,380,0,380,Cash,EMP02
LI000162,TXN10034,01-12-2025,C0048,TRUE,P007,Coconut Oil 500ml,Oils & Fats,KLF Nirmal,168,1,168,0,168,UPI,EMP04
LI000163,TXN10034,01-12-2025,C0048,TRUE,P027,Tomato 1kg,Vegetables,Fresh,42,2,84,0,84,UPI,EMP04
LI000164,TXN10034,01-12-2025,C0048,TRUE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,1,178,8.9,169.1,UPI,EMP01
LI000165,TXN10034,01-12-2025,C0048,TRUE,P003,Atta Wheat Flour 5kg,Staples,Aashirvaad,235,2,470,0,470,UPI,EMP04
LI000166,TXN10034,01-12-2025,C0048,TRUE,P035,Dish Wash Bar 200g,Household,Vim,32,2,64,0,64,UPI,EMP02
LI000167,TXN10035,01-12-2025,C0019,TRUE,P011,Curd 400g,Dairy,Aavin,35,1,35,1.75,33.25,UPI,EMP02
LI000168,TXN10035,01-12-2025,C0019,TRUE,P029,Potato 1kg,Vegetables,Fresh,36,1,36,0,36,UPI,EMP02
LI000169,TXN10035,01-12-2025,C0019,TRUE,P025,Potato Chips 90g,Snacks,Lays,20,2,40,0,40,UPI,EMP01
LI000170,TXN10036,01-12-2025,C0021,TRUE,P001,Ponni Boiled Rice 5kg,Staples,Aachi,285,3,855,0,855,Cash,EMP01
LI000171,TXN10036,01-12-2025,C0021,TRUE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,2,356,0,356,Card,EMP01
LI000172,TXN10037,01-12-2025,C0074,TRUE,P005,Chana Dal 1kg,Staples,Local,98,1,98,0,98,UPI,EMP04
LI000173,TXN10037,01-12-2025,C0074,TRUE,P023,Murukku 200g,Snacks,Haldirams,45,2,90,0,90,UPI,EMP03
LI000174,TXN10037,01-12-2025,C0074,TRUE,P011,Curd 400g,Dairy,Aavin,35,2,70,0,70,Cash,EMP04
LI000175,TXN10037,01-12-2025,C0074,TRUE,P028,Onion 1kg,Vegetables,Fresh,41,2,82,0,82,UPI,EMP01
LI000176,TXN10038,2025-12-01,C0031,FALSE,P021,Horlicks 200g,Beverages,GSK,162,2,324,0,324,Cash,EMP01
LI000177,TXN10038,2025-12-01,C0031,FALSE,P002,Toor Dal 1kg,Staples,24 Mantra,145,2,290,0,290,Cash,EMP04
LI000178,TXN10038,2025-12-01,C0031,FALSE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,1,178,0,178,UPI,EMP02
LI000179,TXN10038,2025-12-01,C0031,FALSE,P024,Biscuits Marie 200g,Snacks,Britannia,32,1,32,0,32,UPI,EMP02
LI000180,TXN10038,2025-12-01,C0031,FALSE,P001,Ponni Boiled Rice 5kg,Staples,Aachi,285,2,570,0,570,UPI,EMP04
LI000181,TXN10039,2025-12-01,C0004,FALSE,P004,Urad Dal 500g,Staples,Local,72,5,360,0,360,Cash,EMP01
LI000182,TXN10039,2025-12-01,C0004,FALSE,P022,Soft Drink 2L,Beverages,Pepsi,95,1,95,0,95,Card,EMP02
LI000183,TXN10039,2025-12-01,C0004,FALSE,P012,Paneer 200g,Dairy,Heritage,75,4,300,0,300,UPI,EMP03
LI000184,TXN10039,2025-12-01,C0004,FALSE,P028,Onion 1kg,Vegetables,Fresh,37,1,37,0,37,UPI,EMP01
LI000185,TXN10039,2025-12-01,C0004,FALSE,P021,Horlicks 200g,Beverages,GSK,162,1,162,0,162,UPI,EMP02
LI000186,TXN10039,2025-12-01,C0004,FALSE,P018,Garam Masala 50g,Spices,Everest,42,2,84,0,84,Card,EMP04
LI000187,TXN10039,2025-12-01,C0004,FALSE,P015,Turmeric Powder 100g,Spices,Aachi,38,3,114,0,114,Card,EMP04
LI000188,TXN10039,2025-12-01,C0004,FALSE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,3,534,0,534,Cash,EMP03
LI000189,TXN10040,01-12-2025,C0050,TRUE,P025,Potato Chips 90g,Snacks,Lays,20,2,40,0,40,UPI,EMP04
LI000190,TXN10040,01-12-2025,C0050,TRUE,P012,Paneer 200g,Dairy,Heritage,75,3,225,0,225,UPI,EMP02
LI000191,TXN10041,01-12-2025,C0076,TRUE,P017,Coriander Powder 100g,Spices,Local,28,3,84,0,84,Cash,EMP01
LI000192,TXN10041,01-12-2025,C0076,TRUE,P002,Toor Dal 1kg,Staples,24 Mantra,145,1,145,0,145,Cash,EMP03
LI000193,TXN10041,01-12-2025,C0076,TRUE,P004,Urad Dal 500g,Staples,Local,72,2,144,0,144,UPI,EMP02
LI000194,TXN10041,01-12-2025,C0076,TRUE,P023,Murukku 200g,Snacks,Haldirams,45,2,90,0,90,UPI,EMP04
LI000195,TXN10041,01-12-2025,C0076,TRUE,P011,Curd 400g,Dairy,Aavin,35,2,70,3.5,66.5,Cash,EMP01
